Name,RA,Dec,Dist,Mag,Type
Sirius,101.287,-16.716,8.6, -1.46,A1V
Canopus,95.988,-52.696,310,-0.74,F0II
Rigil Kentaurus,219.902,-60.833,4.37,-0.27,G2V
Arcturus,213.915,19.182,37,-0.05,K0III
Vega,279.234,38.784,25,0.03,A0V
Capella,79.172,45.998,42,0.08,G5III
Rigel,78.634,-8.201,860,0.13,B8Ia
Procyon,114.825,5.225,11.4,0.34,F5IV
Achernar,24.429,-57.237,144,0.46,B3V
Betelgeuse,88.793,7.407,640,0.50,M1Ia
Hadar,210.956,-60.373,390,0.61,B1III
Altair,297.696,8.868,16.7,0.76,A7V
Acrux,186.649,-63.099,320,0.77,B0.5IV
Aldebaran,68.980,16.509,65,0.86,K5III
Antares,247.352,-26.432,550,0.96,M1Ib
Spica,201.298,-11.161,250,0.97,B1V
Pollux,116.329,28.026,34,1.14,K0III
Fomalhaut,344.413,-29.622,25,1.16,A3V
Deneb,310.358,45.280,2600,1.25,A2Ia
Mimosa,191.930,-59.689,280,1.25,B0.5III
Regulus,152.093,11.967,79,1.36,B7V
Adhara,104.656,-28.972,430,1.50,B2II
Castor,113.650,31.888,52,1.58,A1V
Gacrux,187.791,-57.113,88,1.63,M3.5III
Shaula,263.402,-37.103,570,1.62,B1.5IV
