Name,RA,Dec,Dist,Mag,Type
Sirius,101.287,-16.716,8.6,-1.46,A1V
Canopus,95.988,-52.696,310,-0.74,F0II
Rigil Kentaurus,219.902,-60.833,4.37,-0.27,G2V
Arcturus,213.915,19.182,37,-0.05,K0III
Vega,279.234,38.784,25,0.03,A0V
Capella,79.172,45.998,42,0.08,G5III
Rigel,78.634,-8.201,860,0.13,B8Ia
Procyon,114.825,5.225,11.4,0.34,F5IV
Achernar,24.429,-57.237,144,0.46,B3V
Betelgeuse,88.793,7.407,640,0.50,M1Ia
Hadar,210.956,-60.373,390,0.61,B1III
Altair,297.696,8.868,16.7,0.76,A7V
Acrux,186.649,-63.099,320,0.77,B0.5IV
Aldebaran,68.980,16.509,65,0.86,K5III
Antares,247.352,-26.432,550,0.96,M1Ib
Spica,201.298,-11.161,250,0.97,B1V
Pollux,116.329,28.026,34,1.14,K0III
Fomalhaut,344.413,-29.622,25,1.16,A3V
Deneb,310.358,45.280,2600,1.25,A2Ia
Mimosa,191.930,-59.689,280,1.25,B0.5III
Regulus,152.093,11.967,79,1.36,B7V
Adhara,104.656,-28.972,430,1.50,B2II
Castor,113.650,31.888,52,1.58,A1V
Gacrux,187.791,-57.113,88,1.63,M3.5III
Shaula,263.402,-37.103,570,1.62,B1.5IV
Bellatrix,81.283,6.349,250,1.64,B2III
Elnath,81.572,28.607,130,1.65,B7III
Miaplacidus,138.167,-69.717,110,1.67,A1III
Alnilam,84.053,-1.202,2000,1.69,B0Ia
Alnitak,85.189,-1.943,1260,1.72,O9.7Ib
Alioth,193.507,55.959,82,1.77,A0p
Mirfak,51.080,49.861,510,1.79,F5Ib
Dubhe,165.932,61.751,123,1.79,K0III
Wezen,106.67,-26.39,1600,1.83,F8Ia
Kaus Australis,276.05,-34.38,143,1.85,B9.5III
Alkaid,206.885,49.313,103,1.86,B3V
Avior,125.62,-59.51,630,1.86,K3III
Sargas,264.33,-42.99,300,1.87,F1II
Menkalinan,89.88,44.95,81,1.90,A1IVp
Atria,252.17,-69.03,390,1.92,K2IIb-IIIa
Alhena,99.42,16.39,109,1.93,A0IV
Peacock,306.41,-56.73,179,1.94,B2IV
Alsephina,131.06,-54.71,72,1.95,A1Va
Mirzam,95.67,-17.96,490,1.98,B1II-III
Alphard,141.89,-8.66,180,2.00,K3II-III
Polaris,37.95,89.26,430,2.02,F7Ib
Hamal,31.79,23.46,65,2.00,K2IIIc
Algieba,154.99,19.84,130,2.08,K0III
Diphda,11.23,-17.98,96,2.02,K0III
Mizar,200.98,54.92,86,2.23,A2V
Sadr,305.55,40.25,1800,2.23,F8Ib
Gienah,311.45,33.97,72,2.48,K0III
Rukh,296.56,45.13,170,2.87,B9III
Tarazed,296.6,10.61,390,2.72,K3II
Alshain,298.8,6.40,45,3.71,G8IV
Saiph,86.939,-9.669,650,2.09,B0.5Ia
Mintaka,83.001,-0.299,1200,2.23,O9.5
Merak,165.460,56.382,80,2.37,A1V
Phad,178.457,53.694,83,2.44,A0V
Megrez,183.858,57.032,80,3.31,A3V
Thuban,211.507,64.376,303,3.65,A0III
Kochab,222.676,74.155,130,2.08,K4III
Rasalhague,263.73,12.56,48,2.07,A5III
Algol,47.042,40.955,90,2.12,B8V
Almach,30.97,42.32,350,2.10,K3IIb
Porrima,190.43,-1.45,38,2.74,F0V
Ain,67.16,19.18,147,3.53,K0III
Gomeisa,109.19,8.29,162,2.89,B8Ve
Ankaa,6.57,-42.30,85,2.37,K0III
Graffias,241.36,-19.80,490,2.56,B1V
Wei,254.34,-26.42,460,2.29,K1III
Izar,221.24,27.07,203,2.37,K0II-III
